Input.sentence,Input.emphasize,Answer.rewrite
Mr. Kageyama is accurate to deny a specific anti-American bias,specific,Mr Kageyama is accurate to deny an anti-American bias that is specific
Mr. Bates usually handles day-to-day UAL trading on his own,day-to-day,Mr Bates usually handles UAL trading on his own from day-to-day
It 's worse than I thought she said,worse,She said compared to what I thought it's worse
India 's Gandhi called for parliamentary elections next month,parliamentary,The elections called for by Gandhi next month are parliamentary
Mr. Bates usually handles day-to-day UAL trading on his own,own,N/A
There are few factories and no mines,few,There are no mines and the factories are few
Mr. Kageyama is accurate to deny a specific anti-American bias,anti-American,Mr. Kageyama is accurate to deny that a specific bias is anti-American
The advance felt more like a technical bounce he said,technical,He said the advance felt more like a bounce that is technical
a reflects 2-for-1 stock split effective Dec. 30 1988,2-for-1,a reflects a stock split effective Dec. 30 1988 that's 2-for-1
Like many sports buffs Mr. Engelken has turned cynic,many,N/A
Over the next few years I would advise caution,next,I would advise caution over the few years coming next
a reflects 2-for-1 stock split effective Dec. 30 1988,effective,Dec 30 1888 was when a reflects 2 for 1 split was effective
Over the next few years I would advise caution,few,I would advise caution over the years at least the next few
And of course there 's the unsteady labor situation,unsteady,And of course there is the labor situation that is unsteady
Like many sports buffs Mr. Engelken has turned cynic,cynic,N/A
But the issue is stickier than it seems,stickier,But it seems that the issue is stickier
Basically Mr. Chestman was a fourth-level tippee,fourth-level,Basically Mr. Chestman was a tippee of the fourth-level
The good news is it 's not your fault,good,The news that it is not your fault is good
Short-term rates were unchanged to slightly lower,Short-term,The rates which were unchanged to slightly lower were short-term
I wish them all the best,best,N/A
Civil disobedience violent or non-violent is intentional law breaking,Civil,of disobedience that is violent or non-violent intentional law breaking is civil
Short-term rates were unchanged to slightly lower,unchanged,Short-term rates were slightly lower to unchanged
BankAmerica 's total loans rose 8 % to 71.36 billion,total,BankAmerica saw a rise of 8% to 71.36 billion in their loan total
And the egg producers have done a pretty good job,good,And the egg producers have done a job that's pretty good
Civil disobedience violent or non-violent is intentional law breaking,violent,Civil disobedience that is intentional law breaking is violent or non violent
One team pays so much and the other pays more,much,The other team pays more and one team pays so much
Other money managers also opened their wallets,Other,Money managers that also opened their wallets were others
Short-term rates were unchanged to slightly lower,lower,N/A
Civil disobedience violent or non-violent is intentional law breaking,non-violent,Civil disobedience is intentional law breaking whether it's violent or non-violent
One team pays so much and the other pays more,other,One team pays so much and the one that pays more is the other
Britain 's unsettled political scene also worries some investors,unsettled,Some investors are worried about Britain's political scene which is unsettled
Civil disobedience violent or non-violent is intentional law breaking,intentional,Civil disobedience law breaking either violent or non-violent is intentional
One team pays so much and the other pays more,more,N/A
Its high for the past year was 16.375 a share,past,Its high was 16.375 a share for this year past
Britain 's unsettled political scene also worries some investors,political,The unsettled scene which worries some of Britains investors is political
A private farmer never wastes anything,private,A farmer that never wastes anything is private
That is the key to the current national disease,current,That is the key to the national disease that is current
The rest were withdrawn for lack of acceptable bids,acceptable,The rest were withdrawn for lack of bids that were acceptable
Champ Chandler 's last pitch apparently was a screwball,last,Champ Chandler 's apparent screwball pitch was his last
Japanese government bonds showed little change,Japanese,The government bonds that showed little change were Japanese
That is the key to the current national disease,national,That is the key to the current disease which is national
The entire division employs about 850 workers,entire,The division that employs about 850 workers is entire
Japanese government bonds showed little change,little,Japanese government bonds showed change which was little
Eavesdropping by individuals is harder to measure,harder,Measuring eavesdropping by individuals is harder
These claims would be repayable over a 10-year period,repayable,Over a 10-year period these claims would be repayable
Interest payments on the bonds will be payable semiannually,payable,Interest payments on the bonds will be semiannually payable
It 's just a strange feeling,strange,It 's just a feeling that's strange
Of course Mr. Mason did not use neutral language,neutral,Of course the language Mr. Mason used was not neutral
New trade accords were signed,New,The trade accords that were signed are new
These claims would be repayable over a 10-year period,10-year,The period over which these claims would be repayable is 10-year
But do n't do anything rash,rash,What you do shouldn't be rash
Just say the offices are tastefully appointed he says,appointed,He says to just say the offices are tastefully appointed
They want to do more,more,N/A
I 'm ashamed I own the stupid thing,ashamed,Owning the stupid thing makes me ashamed
Affiliated Publications Inc. reversed a year-earlier third quarter net loss,year-earlier,Affiliated Publications Inc. reversed a third quarter net loss from a year-earlier
Margin debt was at a record high,record,The margin debt was so high it set a record
I 'm ashamed I own the stupid thing,stupid,I am ashamed I own a thing that is stupid
For Cathay Pacific Airways the smooth ride may be ending,smooth,For Cathay Pacific Airways what may be ending is their ride which has been smooth
"GAF faces potential fines of 500,000 for each count",potential,"For each count fines of 500,000 assessed to GAF have potential"
Affiliated Publications Inc. reversed a year-earlier third quarter net loss,third,Affiliated Publications Inc. reversed a year-earlier net loss for the quarter third
Analysts predict little or no near-term growth,little,Analysts predict near term growth that is none or little
And short-term the technicians may have their way,short-term,And the technicians may have their way in the short-term
Affiliated Publications Inc. reversed a year-earlier third quarter net loss,net,The year-earlier third quarter loss that Affiliated Publications Inc. reversed was net
But junk bonds took more hits,more,But junk bonds took hits more
Analysts predict little or no near-term growth,near-term,Analysts predict little or no growth in the near-term
It is known in the Pentagon as the negative wedge,negative,In the Pentagon the wedge is known as negative
Occasionally gross chromosome damage was visible,gross,Occasionally visible was chromosome damage which was gross
They 're really fashion items wrapped up in little jars,little,They're really fashion items wrapped up in jars that are little
Invariably he says eyewitnesses are untrustworthy,untrustworthy,N/A
Many economists expect the weakness to continue,Many,The number of economists that expect the weakness to continue are many.
Occasionally gross chromosome damage was visible,visible,N/A
Disclosures are very poor in India,poor,Disclosures in India are very poor
South African gold stocks ended marginally firmer,South,The African gold stocks that ended marginally firmer were South
Complete details were n't immediately available,Complete,The details that were immediately available were not complete
Shortage and crisis became buzz words although neither really applied,buzz,Although neither really applied shortage and crisis became words with buzz
The CBS official said that price sounded fine,fine,N/A
South African gold stocks ended marginally firmer,African,The gold stocks that ended marginally firmer were South African
Similar proposals were defeated in at least 15 other states,Similar,Proposals that were defeated in at least 15 other states were similar
South African gold stocks ended marginally firmer,firmer,N/A
Needless to say he was talking about RICO,Needless,To say he was talking about NICO is needless
Similar proposals were defeated in at least 15 other states,least,Similar proposals were defeated in 15 other states at least
Complete details were n't immediately available,available,N/A
Lack of important needed information can cause fear,important,The lack of needed information that can cause fear is important
Similar proposals were defeated in at least 15 other states,other,N/A
They currently have large orders for cargo planes,large,They currently have orders for cargo planes that are large
It 's a real face-to-face arm wrestling challenge to Congress,real,The face to face arm wrestling challenge to Congress is real
That may be the last thing she needs,last,That may be the thing she needs last
Daiwa is one of the world 's largest securities firms,largest,Among the world's securities firms Daiwa is one of the largest
Mellon has 36.6 million shares outstanding,outstanding,N/A
It 's a real face-to-face arm wrestling challenge to Congress,face-to-face,The real arm wrestling challenge to Congress is face to face
Dr. Lourie says the Justice Department interviewed him last July,last,Dr. Lourie says the Justice Department interviewed him the July last
Repeat customers also can purchase luxury items at reduced prices,reduced,Repeat customers also can purchase luxury items at prices that are reduced.
A 60-day to 65-day supply is considered normal,60-day,What's considered normal is a supply that's 65 to 60-day
Cathay is taking several steps to bolster business,several,The steps Cathay is taking to bolster business are several
But it 'll sure make you poorer,poorer,N/A
No lawyers or tape recorders were present,present,N/A
A 60-day to 65-day supply is considered normal,65-day,A supply is considered normal if it is 60-day to 65-day
Yet his political setbacks mounted,political,Yet his setbacks that mounted were political
Traders said most municipal bonds ended 1\/2 point higher,most,Traders said the quantity of municipal bonds which ended 1\/2 point higher was most
NORTHERN CALIFORNIA BRACED for earthquake-related traffic jams,earthquake-related,NORTHERN CALIFORNIA BRACED for traffic jams that were earthquake-related
A 60-day to 65-day supply is considered normal,normal,N/A
The companion tax-exempt funds add 71 billion,tax-exempt,The companion funds that add 71 billion are tax-exempt
Traders said most municipal bonds ended 1\/2 point higher,municipal,Municipal bonds ended 1\/2 point higher according to traders
Sometimes they are constructive but often not,constructive,Sometimes but not often they are constructive
At Applied Mr. Sim set growth as his first objective,first,At Applied Mr. Sim set growth as his objective that he puts first
The investors range from elderly widows to affluent professionals,elderly,The investors range from affluent professionals to widows who are elderly
The modest sell-off which started on Tuesday continued,modest,The sell-off which started on Tuesday and now continued was modest
Noriega managed the whole thing,whole,Noriega managed the thing as a whole
The investors range from elderly widows to affluent professionals,affluent,The investors range from elderly widows to professionals who are affluent
Wisconsin Toy has 71 retail stores primarily in discount settings,retail,Wisconsin Toy has 71 stores primarily in discount settings which are retail
It 's bad soil he says,bad,He says the soil is bad
He expects Citicorp to take a similar step this year,similar,The step he expects Citicorp to take this year will be similar
This may sound strangely optimistic,optimistic,N/A
This misguided policy could not prevent a British trade deficit,misguided,The policy that could not prevent a British trade deficit was misguided
The outlook for corporate earnings is fairly bleak,corporate,The outlook is fairly bleak for earnings defined as corporate
It flopped all around real dramatic,dramatic,N/A
The outlook for corporate earnings is fairly bleak,bleak,N/A
Ortega cited renewed attacks by the U.S.backed rebels,U.S.backed,Ortega cited renewed attacks by rebels that were U.S.backed
Mr. Noriega was growing desperate,desperate,N/A
This misguided policy could not prevent a British trade deficit,British,This misguided policy could not prevent a trade deficit for the British
People have a different reputation country by country,different,The reputations that people have from country to country are different
Chiron another pharmaceutical concern is based in Emeryville Calif,pharmaceutical,Based in Emeryville Calif Chiron is another concern that's pharmaceutical
Artists and draftsmen need harder leads,harder,Artists and draftsmen need leads that are harder
Many Law School Grads Find Classes Never End,Many,The number of law school grads that find that classes never end are many
I refer essentially to petroleum electric power banking and newsprint,electric,I refer essentially to petroleum banking newsprint and power that's electric
The return of the Rothschilds is modest,modest,N/A
The market has been overly harsh to them,harsh,To them the market has been overly harsh
We are almost left out of campus social activities,social,We are almost left out of campus activities that are social
Several projects he said are still on the drawing board,Several,Projects still on the drawing board are several
With little competition the computer industry here is inefficient,little,The computer industry here is inefficient because its competition is little
Conspicuous by its absence is California,Conspicuous,By its absence California is conspicuous
Average shares outstanding dropped to 75.8 million from 82.1 million,Average,Shares outstanding dropped to 75.8 million from 82.1 million on average
It all adds up to a cold winter here,cold,It all adds up to a winter here that's cold
With little competition the computer industry here is inefficient,inefficient,N/A
"The minimum unit is 100,000",minimum,"100,000 is the unit minimum"
Average shares outstanding dropped to 75.8 million from 82.1 million,outstanding,Dropping to 75.8 million from 82.1 million were the average shares outstanding
CRA is 49%-owned by RTZ Corp. of Britain,49%-owned,RTZ Corp. of Britain holds CRA at a level that's 49%-owned
It 's good exercise he says,good,He says it is exercise that is good
Study halls complete with reference materials will be available,complete,Study halls will be available with reference materials which are complete
Mr. Locke teaches English and comparative literature at Columbia University,comparative,At Columbia University Mr. Locke teaches English and literature that is comparative
"The minimum unit is 100,000",minimum,"The unit of 100,000 is the minimum"
Study halls complete with reference materials will be available,available,N/A
Were we smart or just lucky,smart,Were we just lucky or smart
Her instincts were capitalistic despite her background,capitalistic,Despite her background her instincts were capitalistic
But many of these stocks have now become expensive,many,But the amount of these stocks which have now become expensive is many
Were we smart or just lucky,lucky,N/A
Imperial Cup has annual sales of approximately 75 million,annual,Imperial Cup has sales of approximately 75 million in a period that is annual
But many of these stocks have now become expensive,expensive,N/A
California Thefts Make Travel Agents Jittery,Jittery,N/A
New management can take several steps to reduce dishonesty,New,Several steps can be taken to reduce dishonesty by the management that's new
At first we were unfazed,first,We were unfazed at first
It 's hard to know if people are responding truthfully,hard,To know whether or not people are responding truthfully is hard
The predictions of doom are premature she says,premature,She says the predictions of doom are premature
New management can take several steps to reduce dishonesty,several,To reduce dishonesty new management can take steps numbering several
The volatility was dizzying for traders,dizzying,For traders the volatility was dizzying
But attendance is down from previous years,previous,But attendance is down from years previous
And it 's important that we be accurate,important,For us to be accurate is important
A hundred billion dollars in stock was subject to it,subject,To a hundred billion dollars in stock it was subject
You talk about free time .what free time,free,You talk about time that's free what time that's free
Once somebody eats one they get hooked,hooked,N/A
Even the boon to affiliate relations may be limited,limited,N/A
And it 's important that we be accurate,accurate,N/A
But what about all those non-duck ducks flapping over Washington,non-duck,But what about all those ducks flapping over Washington which are non-duck
My vision is to change human consciousness towards touch,human,My vision towards touch is to change consciousness that's human
The interview did not touch on Singapore 's domestic affairs,domestic,The interview did not touch on Singapore's affairs that are domestic
However the phenomenon is not specifically Jewish,Jewish,N/A
A federal judge turned down the Chapter 11 petition,federal,The judge that turned down the Chapter 11 petition was federal
Some current rates exceed those on CDs,current,Some of the rates that exceed those on CDs are current
I want to add one more truck Mr. Huber says,more,Mr. Huber says he wants to add one truck more
That is a little disturbing Ms. Kleinman said,little,Ms. Kleinman said that is disturbing her a little
And she has this inexhaustible energy,inexhaustible,And she has this energy that is inexhaustible
That is a little disturbing Ms. Kleinman said,disturbing,Ms. Kleinman said that is a little disturbing
Some hotels in the hurricane-stricken Caribbean promise money-back guarantees,hurricane-stricken,Some hotels in the Caribbean offering money back guarantees were hurricane stricken
Again no such statement appears on the tapes,such,Again no statement appears on the tapes as such
But markets can operate with greater or lesser efficiency,greater,But markets can operate with efficiency that is lesser or greater
Some hotels in the hurricane-stricken Caribbean promise money-back guarantees,money-back,Some hotels in the hurricane-stricken Caribbean promise guarantees of money-back
But markets can operate with greater or lesser efficiency,lesser,But markets can operate with efficiency that is greater or lesser
The offer made June 1 has been extended several times,several,The amount of times an extension was made to the June 1st offer was several
Meanwhile personal income edged up 0.3 %,personal,Meanwhile the income that edged up 0.3% was personal
Appalled Mr. Green never paid the money he testified,Appalled,Mr. Green never paid the money he testified appalled
That 's OK Mr. Sagan replies,OK,Mr Sagan replies that is is ok
Now it 's getting downright dangerous,dangerous,N/A
There was no new-issue activity in the derivative market,new-issue,In the derivative market there was no activity that was new issue
Says Mr. Steidtmann I 'm looking for a bi-polar Christmas,bi-polar,Mr. Steidtmann says I 'm looking for a Christmas that is bi-polar
The disk-drive maker disclosed a major fraud two months ago,major,Two months ago the disk-drive maker disclosed a fraud that was major
Its 1.7 million-share offering was priced at 15,million-share,The offering priced at 15 was its 1.7 million share
Pilgrim had been closed for 32 months,closed,For 32 months Pilgrim had been closed
There was no new-issue activity in the derivative market,derivative,There was no new-issue activity in the market that is derivative
A disastrous farce in Malaysia screamed the Manchester Guardian,disastrous,A farce in Malaysia that screamed the Manchester Guardian was disastrous
Outside investors scarce since '86 are edging back,Outside,Investors scarce since 1986 are edging back from the outside
Now the push is on for more-distinctive shows,more-distinctive,Now the push is on for shows that are more distinctive
SENATE HEARS final arguments in impeachment trial of federal judge,final,The arguments in the impeachment trial of a federal judge that the senate hears are final
Outside investors scarce since '86 are edging back,scarce,Since 1986 the outside investors edging back have been scarce
SENATE HEARS final arguments in impeachment trial of federal judge,federal,SENATE HEARS final arguments in impeachment trial of judge who is federal
But many predicted that the commercial disruption would be short-lived,many,Commercial disruption would be short-lived according to many
Call it the we 're too broke to fight defense,broke,Call it we can't fight defense because we're too broke
But GAF 's bellwether role was short-lived,bellwether,But short-lived was GAF's role as bellwether
BankAmerica 's profit jumped 34 % in the third quarter,third,BankAmerica's profit jumped 34% in the quarter third
But many predicted that the commercial disruption would be short-lived,commercial,Many predicted that the short lived disruption would be commercial
Some diaries simply are n't worth snooping in,worth,Some diaries simply dont get snooped in because they do not have the worth
But many predicted that the commercial disruption would be short-lived,short-lived,N/A
His melodious Confutatis was smoothly sung by bass Brian Matthews,melodious,Smoothly sung by bass Brian Matthews was his Confutatis which was melodious
People start their own businesses for many reasons,own,The reasons that people start their own businesses are their own
Bond prices were little changed in sluggish activity,changed,In sluggish activity bond prices were little changed
People start their own businesses for many reasons,many,The reasons people start their own businesses are many
Hostile thus entered the merger-acquisition lexicon,Hostile,Thus what entered the merger-acquisition lexicon was hostile
Bond prices were little changed in sluggish activity,sluggish,Bond prices were little changed in activity that was sluggish
Polymerix makes lumber-like materials that it describes as plastic wood,lumber-like,Polymerix makes materials that it describes as plastic wood which are lumber-like
The current quarter he said looks fine,current,He said what looks fine is the quarter that's current
Polymerix makes lumber-like materials that it describes as plastic wood,plastic,Polymerix makes materials that are lumber like and though look like wood are plastic
Hostile thus entered the merger-acquisition lexicon,merger-acquisition,The merger-acquisition lexicon thus welcomed the word hostile
Indirect subsidies through the FHA for instance are little better,Indirect,The subsidies through the FHA that are a little better are ones that are indirect
Who that winner will be is highly uncertain,uncertain,N/A
But GAF 's bellwether role was short-lived,short-lived,N/A
The current quarter he said looks fine,fine,N/A
Broader market averages were little changed in the latest session,Broader,The market averages little changed in the latest session were the ones which were broader
But there are no scientific data on this question,scientific,But on this question there are no data that is scientific
Indirect subsidies through the FHA for instance are little better,better,N/A
Broader market averages were little changed in the latest session,changed,In the latest session broader market averages were little changed
The numbers were adjusted for usual seasonal fluctuations,usual,The numbers were adjusted for seasonal fluctuations as usual
It will continue to be sold in the European market,European,It will continue to be sold in the market that is European
Broader market averages were little changed in the latest session,latest,Broader market averages were little changed in the session that was latest
But so-called outer month contracts finished higher,so-called,The outer month contracts that finished higher were so called
The numbers were adjusted for usual seasonal fluctuations,seasonal,The numbers were adjusted for usual fluctuations that are seasonal
There is after all big money in environmentalism,big,There is after all money in environmentalism that's big
For the most part the changes were slight,most,The changes were slight at most
But so-called outer month contracts finished higher,outer,Buy the contracts that finished higher for the month were so called outer
European drama has had better though still mixed fortunes,European,Drama that has had better though still mixed fortunes are European
European drama has had better though still mixed fortunes,better,Though still mixed fortunes European drama has had better
For the most part the changes were slight,slight,N/A
And much home-equity credit is used conservatively,much,Of home-equity credit used conservatively are much
He seems to be typical of many professional money managers,typical,Of many professional money managers he seems to be typical
European drama has had better though still mixed fortunes,mixed,European drama has had better fortunes though still mixed
But it was the underlying situation that became intolerable,intolerable,N/A
And much home-equity credit is used conservatively,home-equity,And used conservatively is much credit in the category of home-equity
It 's also a fast fix for an ailing image,fast,For an ailing image it's also a fix that's fast
Everybody was afraid of him Mr. Ingersoll says,afraid,Mr Ingersoll says that of him everybody was afraid
He seems to be typical of many professional money managers,many,He seems to be typical of professional money managers that are many
This news raised hopes for further interest-rate cuts,further,This news raised hopes for interest rate cuts further
It 's also a fast fix for an ailing image,ailing,It was also a fast fix for an image that was ailing
He seems to be typical of many professional money managers,professional,He seems to be typical of many money managers who are professional
Municipals ended mixed while mortgage-backed and investment-grade corporate bonds rose,mixed,Mortgage-backed and investment-grade corporate bonds rose while municipals ended mixed
This news raised hopes for further interest-rate cuts,interest-rate,This news raised hopes for further cuts in the interest-rate
It wo n't be cheaper,cheaper,N/A
Anti-nuclear activists took a less positive view,Anti-nuclear,Activists that took a less positive view were anti nuclear
The council plans to release its regional reports monthly,regional,The reports that the council plans to release monthly are regional
Municipals ended mixed while mortgage-backed and investment-grade corporate bonds rose,mortgage-backed,Municipals ended mixed while the corporate bonds that rose were investment-grade and mortgage-backed
China-bound freight streams through the territory 's port,China-bound,Streaming through the territory's port is freight that's China-bound
Anti-nuclear activists took a less positive view,positive,Anti-nuclear activists took a view that was less positive
Since then she has become wealthy,wealthy,N/A
And they are a very odd team in any case,odd,And in any case they are a team that is very odd
This is not nearly good enough,good,For this to be enough it is not good
Municipals ended mixed while mortgage-backed and investment-grade corporate bonds rose,investment-grade,Municipals ended mixed while corporate bonds rose if they were investment-grade
He confers big trading commissions on Wall Street firms,big,He confers trading commissions on Wall Street firms which are big
Radio programs and books have followed the daily television show,daily,Radio programs and books have followed the television show airing daily
Reluctant Advertisers Try Soft-Sell Spots,Reluctant,To try soft-sell spots advertisers are reluctant
In Europe the dollar ended lower in dull trading,dull,In Europe the dollar ended lower in trading that was dull
And he yelled out dolce dolce sweet sweet,sweet,N/A
Reluctant Advertisers Try Soft-Sell Spots,Soft-Sell,Reluctant Advertisers Try Spots That Are Soft-Sell
Municipals ended mixed while mortgage-backed and investment-grade corporate bonds rose,corporate,Municipals ended mixed while what rose were mortgage-backed and investment-grade bonds that were corporate
He describes a drowned corpse as Esther Williams,drowned,The corpse he described as Esther Williams was drowned
There is a reality to the excess energy he said,excess,He said there is a reality to the energy that is excess
The dollar weakened against most other major currencies,other,The dollar weakened against most major currencies of other
Of course Mr. Wolf 48 years old has some savings,old,Of course Mr. Wolf has some savings because he's 48 years old
Additional cable partners could boost subscribers even further,Additional,What could boost subscribers even further are cable partners who are additional
Estimated and actual results involving losses are omitted,Estimated,What's omitted involving losses are results both actual and estimated
The dollar weakened against most other major currencies,major,The other currencies that the dollar weakened against were major
In either case the investor faces three possible outcomes,possible,In either case the investor faces three outcomes that are possible
Apparently however the improvement came too late,late,N/A
Estimated and actual results involving losses are omitted,actual,Results involving losses which are omitted are estimated and actual
But there did seem to be a retail activity pickup,retail,The activity that seemed to pickup was retail
The suit seeks unspecified damages,unspecified,The damages the suit seeks are unspecified
But these wide swings scare them to death,wide,What scares them to death are these swings that are wide
Their verdict on real estate is almost the same,real,N/A
With that authority of course goes an unambiguous accountability,unambiguous,With that authority of course the accountability is unambiguous
It 's the total relationship that is important,important,N/A
Their verdict on real estate is almost the same,same,N/A
Ms. Clifton had been executive financial assistant to the chairman,executive,Ms Cliftons position as executive assistant to the chairman was financial
Bloomingdale 's does an estimated 1.2 billion in annual sales,annual,Bloomingdale 's does an estimated 1.2 billion in sales which are annual
Imports of goods and services soared while exports were flat,flat,N/A
The company 's trustee F.E. Agnew was unavailable for comment,unavailable,There was no comment from the company's trustee F.E. Agnew as he was unavailable
Ms. Clifton had been executive financial assistant to the chairman,financial,The type of executive assistant to the chairman Ms Clifton had been was financial
Foreign traders say the company is strapped for cash,Foreign,The traders that say the company is strapped for cash are foreign
Some institutional traders loved the wild ride,institutional,Some traders that loved the wild ride were institutional
Trading activity cooled off from Monday 's sizzling pace,sizzling,Trading activity cooled off from Monday which had a pace that was sizzling
He explains that companies with real estate give security,real,N/A
As Wall Street strengthened the London trading room went wild,wild,N/A
Foreign traders say the company is strapped for cash,strapped,Foreign traders say the companies cash is strapped
It now takes something really weird to inspire public outrage,weird,To inspire public outrage it now takes something really weird
Some institutional traders loved the wild ride,wild,Some institutional traders loved the ride that was wild
The Japanese government does n't allow this,Japanese,The government that doesn't allow this is Japanese
We 're very pleased with the new deal,pleased,With the new deal we are very pleased
It now takes something really weird to inspire public outrage,public,It now takes something really weird to inspire outrage from the public
This is a very tenacious ghost Mr. Warren says darkly,tenacious,Mr Warren says darkly that the ghost is very tenacious
No doubt Mr. Dinkins has been a calming influence,calming,No doubt Mr Dinkins is an influence that has been calming
We 're very pleased with the new deal,new,We are very pleased with the deal that is new
The second factor spurring mega-issues is political,second,As factors spurring mega-issues political is second
It was down a little,little,N/A
The bank has a negative net worth they say,negative,They say the bank has a net worth that's negative
White children empty the wastepaper baskets and squeegee the windows,White,The children who empty the wastepaper baskets and squeegee the windows are white
The second factor spurring mega-issues is political,political,N/A
The bank has a negative net worth they say,net,They say the bank has a negative worth in the column of net
Second-tier companies are receiving even less per ton,Second-tier,The companies that are receiving even less per ton are second tier
An early battleground was the U.S. Department of Agriculture,early,The US Department of Agriculture battleground was an early one
Estimated and actual results involving losses are omitted,actual,Omitted results involving losses were estimated and actual
Second-tier companies are receiving even less per ton,less,Per ton second-tier companies are receiving even less
Many law firms sponsor their own programs,Many,Law firms which sponsor their own programs are many
They want late-night shuttles to the biology labs,late-night,They want shuttles to the biology labs to be late night
But the utility may not continue next year,next,But the utility may not continue from this year to the next
Himont is 81%-owned by Montedison S.p A. of Milan Italy,81%-owned,The percentage owned by Montedison S p A of Milan Italy is 81 percent owned
Stock prices finished about unchanged Friday in quiet expiration trading,unchanged,Stock prices finished Friday in quiet expiration trading about unchanged
Many law firms sponsor their own programs,own,Many law firms sponsor programs of their own
Stock prices finished about unchanged Friday in quiet expiration trading,quiet,Expiration trading of stock prices that finished unchanged Friday were quiet
Having only a Republican measure makes the task harder,Republican,What makes the task harder is having a measure that's only Republican
My position is well-known and well-stated he replied,well-known,He replied my position is well-stated and well-known
Many bankers view property-sector loans as particularly risky,Many,Bankers that view property sector loans as particularly risky are many
The playoff series had riveted the 12-year-old Giants fan,12-year-old,The playoff series had riveted the Giants fan who was 12-year-old
You 'll see fewer gimmicks,fewer,The number of gimmicks you will see are fewer
Many bankers view property-sector loans as particularly risky,risky,N/A
Says Mr. Simpson The script was unreadable,unreadable,N/A
My position is well-known and well-stated he replied,well-stated,He replied my position is well-known and well-stated
The reversal was even more evident among shorter-term Treasury securities,evident,Among shorter-term Treasury securities the reversal was even more evident
Other mutual fund companies reported even lighter withdrawal requests,Other,Mutual fund companies that reported even lighter wihdrawal requests were other
Consumer stocks once again set the pace for blue-chip issues,blue-chip,Consumer stocks once again set the pace for issues in the area of blue-chip
But Sassy has a different spirit,different,But Sassy has a spirit that is different
The reversal was even more evident among shorter-term Treasury securities,shorter-term,The reversal was even more evident among Treasury securities that were shorter-term
Other mutual fund companies reported even lighter withdrawal requests,mutual,Even lighter withdrawal requests were reported by other fund companies in the class of mutual
He is a mechanical engineer not an atmospheric chemist,mechanical,While he is not an atmospheric chemist the type of engineer he is is mechanical
The buy-out group had no firm financing for the plan,firm,The buy-out group had no financing for the plan that was firm
Other mutual fund companies reported even lighter withdrawal requests,lighter,Other mutual fund companies reported withdrawal requests that were even lighter
These guys prey on human frailties,human,These guys prey on frailties that are human
More Elderly Maintain Their Independence,More,Elderly that maintain their independence is more
Nasdaq 's gain was led by its biggest industrial stocks,biggest,The industrial stocks led by Nasdaqs gain were its biggest
More Elderly Maintain Their Independence,Elderly,Of more that maintain their independence are elderly
They want a 24-hour library,24-hour,They want a library that's 24-hour
He is a mechanical engineer not an atmospheric chemist,atmospheric,He is a mechanical engineer not a chemist specializing in the atmospheric
Nasdaq 's gain was led by its biggest industrial stocks,industrial,Nasdaq's gain was led by its biggest stocks categorized as industrial
They will be the next hot magazines,next,They will be the hot magazines that come next
The recent sharp stock market decline exacerbated those concerns,recent,The sharp stock market decline which exacerbated those concerns was recent
Both reflect the dismissal of lower-level and shorter-tenure executives,lower-level,Both reflect the dismissal of executives that are shorter tenure and lower level
They will be the next hot magazines,hot,They will be the next magazines that are hot
Their opposition helped scare off some Japanese banks,Japanese,Their opposition helped scare off some banks owned by the Japanese
The recent sharp stock market decline exacerbated those concerns,sharp,Exacerbating those concerns was the recent stock market decline which was sharp
The company earned 6.6 million in the year-earlier quarter,year-earlier,The company earned 6.6 million in the quarter that was a year-earlier
Both reflect the dismissal of lower-level and shorter-tenure executives,shorter-tenure,Both reflect the dismissal of executives that were of lower-level and shorter-tenure
They got a transaction that 's good for both companies,good,Both companies got a transaction that was good
Her new line of work has some perils,new,Her line of work that has some perils is new
This leads to a very special sense of urgency,special,The sense of urgency this leads to is very special
The company 's sales flattened during 1989 's first half,first,The company's sales flattened during the half of 1989 which came first
Any fool can publish a money-losing magazine,money-losing,Any fool can publish a magazine that is money-losing
LONG-TERM care insurance gains favor,LONG-TERM,The care insurance that gained favor was long term
The 30-share index settled 42.0 points lower at 1678.5,30-share,The index which settled 42.0 points lower at 1678.5 was the 30-share
Revenue was flat at 1.3 billion,flat,Revenue was 1.3 billion flat
Other companies figure they ca n't avoid the market,Other,Companies that figure they can't avoid the market are other
The 30-share index settled 42.0 points lower at 1678.5,lower,The 30-share index settled at 1678.5 which was 42.0 points lower
Mervin Lung remains chairman and chief executive officer,chief,Mervin Lung remains chairman and executive officer chief
Measures of manufacturing activity fell more than the overall measures,overall,Measures of manufacturing activity fell more than the measures overall
Mr. Goldberg is the sole general partner in Rose Partners,sole,Mr Goldbergs role as general partner in Rose Partners is sole
The moisturizer introduced in 1962 had a dowdy image,dowdy,The moisturizer introduced in 1962 had an image that was dowdy
The current debt limit expires Oct. 31,current,The debt limit which expires Oct. 31 is the one that's current
Mr. Goldberg is the sole general partner in Rose Partners,general,In Rose Partners Mr. Goldberg is the sole partner general
I thought your editorial was factually accurate and deliberately elucidative,accurate,I thought your editorial was deliberately elucidative and factually accurate
The work force provides the third arm of the alliance,third,The arm of the alliance that the work force provides is its third
A big reason for the chemical price retreat is overexpansion,big,As a reason for the chemical price retreat overexpansion is big
