Input.sentence,Input.emphasize,Answer.rewrite
But readers may well feel the pangs of recognition,feel,The feeling of pangs of rejection could come for readers
But some players were quick to seize the moment,seize,The seizing of the moment was done by quick players
Repeat customers also can purchase luxury items at reduced prices,purchase,The purchasing of luxury items at reduced prices can be done by repeat customers
The Polish rat will eat well this winter,eat,The eating by the Polish rat this summer will be done well
The yield on the issue slipped to 7.92 %,slipped,Slipping to 7.92 % was the yield on the issue
More-detailed reports followed and attracted even less notice,followed,The following of more detailed reports attracted even less notice
All this is causing convulsions in professional football,causing,The causing of convulsions is in professional football
But it 'll sure make you poorer,make,The making of you poorer will be done by it
Its contract expires Dec. 1,expires,The expiration of its contract is Dec. 1
It did n't provide details of setup costs,did,N/A
More-detailed reports followed and attracted even less notice,attracted,Attracting even less notice were more-detailed reports that followed
It did n't provide details of setup costs,provide,The providing of details did not include setup costs
Mr. Carpenter denies the speculation,denies,The denying of the speculation comes from Mr Carpenter
A Rake 's Progress Means Branching Out,Means,The meaning of progress is a rakes branching out
A 14 % inflation rate dropped below 5 %,dropped,The dropping of the inflation rate went from 14% to below 5 %
You just call your broker and say buy or sell,call,The calling of your broker is if you want to buy or sell
So far this list does n't change our view,does,N/A
You just call your broker and say buy or sell,say,The saying of buy or sell occurs when you call your broker
So far this list does n't change our view,change,The changing of our view isn't affected by this list so far
You just call your broker and say buy or sell,buy,Buying or selling is what you just call your broker and say
Overall Salomon reported program trading volume of 75.2 million shares,reported,The report of Salomon included a program trading volume of 75.2 million shares
You just call your broker and say buy or sell,sell,The selling or buying can be done when you call your broker
They ca n't afford to stay out of HDTV,afford,The affording to stay out of HDTV is something they cannot do
Dictation Device 's Saga Plays Back a Lesson,Plays,The playing back of a lesson was by Dictation Devices Saga
They ca n't afford to stay out of HDTV,stay,Staying out of HDTV is something they can't afford to do.
For the prior year deposits exceeded withdrawals by 8.8 billion,exceeded,Exceeding withdrawals by 8.8 billion for the prior year were deposits
The modest sell-off which started on Tuesday continued,started,The start of the modest sell off on Tuesday has continued
Coal earnings rose to 26 million from 21 million,rose,A rise to 26 million from 21 million happened to coal earnings
The modest sell-off which started on Tuesday continued,continued,The continuing of the modest sell off had started on Tuesday
Hilton rose 2 7\/8 to 100 for example,rose,The rising example from Hilton was 2 7V8 to 100
Solar-powered batteries will make the spire glow,make,N/A
This misguided policy could not prevent a British trade deficit,prevent,The preventing of a British trade deficit could not occur due to the misguided policy
Most bills are drafted by bureaucrats not politicians,drafted,"The drafting of most bills is done by bureaucrats, not politicians"
Darman hopes to prod Congress to finish a deficit plan,hopes,Hoping to prod Congress to finish a deficit plan is Darman
Chiron another pharmaceutical concern is based in Emeryville Calif,based,Based in Emeryville Calif is Chiron another pharmaceutical concern
The interviews took place two years ago,took,The taking place of the interviews was two years ago
Many Law School Grads Find Classes Never End,Find,Finding classes never end are many law school grads
It 's contrary to common sense she added,added,The adding from her is that it was contrary to common sense
Darman hopes to prod Congress to finish a deficit plan,prod,The prodding of Congress to finish a deficit plan is what Darman hopes for
Darman hopes to prod Congress to finish a deficit plan,finish,The finishing of a deficit plan Darman hopes will be a prod to Congress
Mr. Marinaro could n't immediately be reached for comment,reached,Reaching Mr Marinaro for comment could not immediately be done
Many Law School Grads Find Classes Never End,End,Ending is what many law school grads find classes never do
Public Service of New Hampshire went up 3\/8 to 4,went,N/A
Time eluded Paramount by acquiring Warner Communications Inc,eluded,The eluding of time by Paramount was due to acquiring Warner Communications Inc
The official asked not to be named,asked,The asking not to be named came from the official
The official asked not to be named,named,Naming of the official was asked not to be done
Time eluded Paramount by acquiring Warner Communications Inc,acquiring,The acquiring of Warner Communications Inc by Paramount caused them to elude time
The question is unanswerable at this point she says,says,N/A
In Indianapolis Lilly declined comment,declined,The declining of Lilly to comment was in Indianapolis
For some banks that 10 % ceiling created problems,created,The creation of problems for some banks was caused by that 10% ceiling
Revenue rose 11 % to 8 billion from 7.2 billion,rose,The rising of revenue was 11 percent from 7.2 billion to 8 billion
Even so his bill is given little chance of passage,given,Given little chance of passage is his bill
Inco shares fell after the announcements,fell,Falling after the announcements is what Inco shares did
Others preach the gospel of buying only blue-chip growth stocks,preach,The preaching by others is the gospel of buying only blue chip growth stocks
It 's very much a growing concern,growing,There has been a growth in the concern
Average shares outstanding dropped to 75.8 million from 82.1 million,dropped,The dropping of average outstanding shares was from 82.1 million to 75.8 million
Said the spokeswoman The whole structure has changed,Said,Saying The whole structure has changed was the spokeswoman
Others preach the gospel of buying only blue-chip growth stocks,buying,The buying of only blue chip growth stocks is preached as the gospel by others
Said the spokeswoman The whole structure has changed,changed,The changing of the whole structure happened said the spokeswoman
Does this signal another Black Monday is coming,Does,N/A
Now comes the pool flap,comes,The coming now is the pool flap
At first we were unfazed,unfazed,Unfazed is what we were at first
Digital is promising a new approach,promising,Promising a new approach is digital
Does this signal another Black Monday is coming,signal,Does the signaling mean that another Black Monday is coming
You talk about free time .what free time,talk,N/A
Lawrence Insurance underwrites mostly primary insurance a company spokesman said,underwrites,Underwriting primary insurance is what Lawrence Insurance mostly does said a company spokesman
Does this signal another Black Monday is coming,coming,The coming of another Black Monday could occur based on this signal
ARE CORPORATE profits distributed fairly,ARE,N/A
Lawrence Insurance underwrites mostly primary insurance a company spokesman said,said,Saying that Lawrence Insurance underwrites mostly primary insurance was a company spokesman
McCaw lost 8 % or 3 1\/2 to 40,lost,Losing 8 percent or 3 1\/2 to 40 was McCaw
ARE CORPORATE profits distributed fairly,distributed,The distributing of corporate profits fairly are questioned
Nonsense she told an interviewer yesterday on London Weekend Television,told,The telling of nonsense in an interview yesterday on London Weekend Television was from her
The Arabs had tried embargos before,tried,The trying of embargos had been done by the Arabs before
Olivetti reportedly began shipping these tools in 1984,began,The beginning of the shipment of these tools was in 1984 as reported by Olivetti
Of course many more issues 93 hit new lows,hit,The hitting of new lows by 93 was caused by many more issues
The value of the acquisition was n't disclosed,disclosed,The disclosing of the value of the acquisition didn't happen
Olivetti reportedly began shipping these tools in 1984,shipping,The shipping of these tools by Olivetti began in 1984
But what about all those non-duck ducks flapping over Washington,flapping,The flapping of all those non duck ducks over Washington is being questioned
I blew it Mr. Motley says apologetically,blew,The blowing of it is done by Mr. Motley apologetically
The company 's president quit suddenly,quit,The quitting of the company president occurred suddenly
A federal judge turned down the Chapter 11 petition,turned,The turning down of the Chapter 11 petition was made by a federal judge
I blew it Mr. Motley says apologetically,says,The saying of I blew it was something Mr. Motley did apologetically
This deal is like a Roach Motel he said,said,Saying This deal is like a Roach Motel was he
Again no such statement appears on the tapes,appears,The appearance again of no such statement is on the tapes
Poland makes no machinery for a plant on that scale,makes,Making no machinery for a plant on that scale is Poland
Even Drexel is pulling back,pulling,The pulling back is by Drexel
But markets can operate with greater or lesser efficiency,operate,The operating of the markets can be with greater or less efficiency
That amounts to more than 350 billion a year,amounts,The amounting to a year was more than 350 billion
You ca n't give it up that easily he says,give,"Giving up that easily you cannot do, he says"
And he has attached himself to the Lincoln story tenaciously,attached,The attaching of himself to the Lincoln story was tenacious
AFTERSHOCKS RATTLED Northern California amid an earthquake cleanup,RATTLED,The rattling of Northern California by aftershocks occurred amid an earthquake cleanup
You ca n't give it up that easily he says,says,Saying you can not give it up that easily is he
Bonuses would be paid based on playing time and performance,paid,The payment of bonuses would be based on playing time and performance
But the strategy is n't helping much this time,helping,The helping from the strategy is not much at this time
The company rejected those past proposals,rejected,The rejecting of those past proposals comes from the company
MURDER THREAT charged in Haas Securities Corp stock-manipulation trial,charged,There was a charge in the Haas Securities Corp stock-manipulation trial
Bonuses would be paid based on playing time and performance,based,The basis of playing time and performance is how bonuses would be paid
Some however lowered yields significantly,lowered,Lowering yields significantly however were some
Analysts expect further jitters this week,expect,The expecting of further jitters is this week according to analysts
Appalled Mr. Green never paid the money he testified,paid,The paying of money never occurred according to the testimony by an appalled Mr Green
Beyond that money managers and analysts see other problems,see,Seeing other problems beyond that money are managers and analysts
It will include Messrs. Schwarz and Maurer,include,N/A
Last week many Jaguar shareholders took their money and ran,took,The taking of money and running occurred last week by many Jaguar shareholders
Appalled Mr. Green never paid the money he testified,testified,The testifying by an appalled Mr Green showed he never paid the money
Lack of liquidity can also result from exchange reforms,result,The result from exchange reforms can also be lack of liquidity
Last week many Jaguar shareholders took their money and ran,ran,The running happened last week after many Jaguar shareholders took their money
BankAmerica 's profit jumped 34 % in the third quarter,jumped,The jump of BankAmerica's profit in the third quarter was 34%
Revenue rose to 590.7 million from 575.1 million,rose,The rising of the revenue went from 575.1 million to 590.7 million
It made my shoelaces dance with terror,made,N/A
Some diaries simply are n't worth snooping in,snooping,The snooping of some diaries simply is not worth it
It made my shoelaces dance with terror,dance,The dancing of my shoelaces was caused by terror
Commerzbank gained 1 to 252.5,gained,Gaining 1 to 252.5 was Commerzbank
Not everything looks grim for Quantum,looks,Looking grim for Quantum is not everything
His melodious Confutatis was smoothly sung by bass Brian Matthews,sung,The singing of his melodious Confutatis was done smoothly by bass Brian Matthews
They could still panic and bail out of the market,panic,The panicking by them could still bail out the market
Climate varies drastically due to natural causes said Mr. Thompson,varies,Varying drastically due to natural causes is climate said Mr Thompson
They could still panic and bail out of the market,bail,The bailing out of the market could happen by them because of panic
Climate varies drastically due to natural causes said Mr. Thompson,said,N/A
Hostile thus entered the merger-acquisition lexicon,entered,The entering of the merger acquisition lexicon was by Hostile
That 's a lot of banishment as it turns out,turns,N/A
Analysts said they expect McCaw to escalate the bidding again,said,N/A
I do n't know where all the buses are,do,N/A
Analysts said they expect McCaw to escalate the bidding again,expect,The expecting of the bidding to escalate again by McCaw comes from analysts
Borrowed shares on the Amex rose to another record,Borrowed,N/A
Analysts said they expect McCaw to escalate the bidding again,escalate,The escalating of the bidding again by McCaw is expected according to analysts
Borrowed shares on the Amex rose to another record,rose,Rising to another record were borrowed shares on the Amex
I do n't know where all the buses are,know,Knowledge of where all the buses are is something I don't have
Get off your he would bellow say the authors,Get,N/A
He adds I think it was a fairly decent call,adds,The addition that he made was that he thought it was a fairly decent call
Get off your he would bellow say the authors,bellow,N/A
When they halt trading all market liquidity is gone,halt,The halt of trading happens and all market liquidity is gone
He adds I think it was a fairly decent call,think,He adds my thinking is that it was a fairly decent call
When they halt trading all market liquidity is gone,gone,Gone is all market liquidity when they halt trading
Get off your he would bellow say the authors,say,N/A
But they have n't yet drawn the operational policy conclusions,drawn,The drawing of the operational policy conclusions has not yet been done
It will continue to be sold in the European market,continue,The continuing of the sale will be in the European market
Genetic Defect Spotted In 3-Day-Old Embryo,Spotted,The spotting of a genetic defect was in a 3 day old embryo
And I will never again complain about a rainout,complain,The complaining about a rainout is something I will never do again
It will continue to be sold in the European market,sold,The selling of it will continue in the European market
Your paper needs a serious reality check,needs,The need your paper has is for a serious reality check
I do n't doubt it for a moment,do,N/A
Now the firm says it 's at a turning point,says,Saying it is at a turning point is the firm now
I do n't doubt it for a moment,doubt,N/A
Making computers smaller often means sacrificing memory,Making,The making of computers smaller often means sacrificing memory
Long-term Treasury bonds ended slightly higher,ended,The end of long-term Treasury bonds was slightly higher
He also says he is losing money now,says,N/A
Making computers smaller often means sacrificing memory,means,N/A
Where 's the guy who can say Enough is enough,say,N/A
He also says he is losing money now,losing,The losing of money he says is happening now
Otherwise actual profit is compared with the 300-day estimate,compared,The comparison of the 300 day estimate is done against the actual profit
Making computers smaller often means sacrificing memory,sacrificing,The sacrifice of memory happens when making computers smaller
Radio programs and books have followed the daily television show,followed,Following the daily television show were radio programs and books
Stocks of California-based thrifts also were hard hit,hit,Hit hard also were stocks of California based thrifts
Asahi officials could n't be reached for comment,reached,The reaching for comment could not be had by Asahi officials
Revenue rose 14 % to 4.03 billion from 3.54 billion,rose,The rising of the revenue went from 14% to 4.03 billion from 3.54 billion
"Accord prices start at 12,345",start,Starting at 12345 are Accord prices
India 's Gandhi called for parliamentary elections next month,called,The calling by Gandhi for parliamentary elections in India is for next month
Over the next few years I would advise caution,advise,Advising caution over the next few years is what I would do
The French analysis goes further,goes,The going further happens by French analysis
In Europe the dollar ended lower in dull trading,ended,The ending of the dollar in Europe was lower due to dull trading
California prices were already coming down,coming,The coming down of California prices was already happening
They do indeed want their own nation,do,N/A
BankAmerica 's total loans rose 8 % to 71.36 billion,rose,The rising of total loans from 8 percent to 71.36 billion was for BankAmerica
There is a reality to the excess energy he said,said,N/A
One team pays so much and the other pays more,pays,The payment of one team is so much and the other team pays more
They do indeed want their own nation,want,N/A
"The contract settled at 1,014 a ton off 13",settled,The settling of the contract at 1014 was a ton off 13
And even though employees paid the bill taxpayers grumbled,paid,"Even though the payment of the bill was made by the employees, the taxpayers grumbled"
It ended with a gain of 88.12 points,ended,The ending was a gain of 88.12 points
The dollar weakened against most other major currencies,weakened,The weakening of the dollar was against most other major currencies
I wish he could wear lifts in his voice,wish,The wish I have is that he could wear lifts in his voice
And even though employees paid the bill taxpayers grumbled,grumbled,And the grumbling of taxpayers occurred even though employees paid the bill
The Nasdaq Financial Index rose 2.09 to 454.86,rose,The rising of the Nasdaq Financial Index went from 2.09 to 454.86
I wish he could wear lifts in his voice,wear,The wearing of lifts in his voice is something I wish for
That is a property right that belongs to the performer,belongs,The ownership of the property is for the performer
And what they have shown is n't impressive,shown,N/A
If nobody buys I bring my prices down,buys,N/A
Sales declined 3 % to 524.5 million from 539.4 million,declined,The declining of sales was 3 percent from 539.4 million to 524.5 million
If nobody buys I bring my prices down,bring,The bringing of my prices down happens if nobody buys
The transaction represents Lynch 's entry into the telephone business,represents,The representation of the transaction showed Lynch's entry into the telephone business
General Mills gained 2 1\/4 to 72 7\/8,gained,The gaining of General Mills was 2 1V4 to 72 7V8
Shorted shares must eventually be replaced through buying,replaced,The replacement of the shorted shares must eventually be done through buying
Most sleep on the floor,sleep,The sleeping of most happens on the floor
The Dow Jones Industrial Average fell 26.23 points to 2662.91,fell,The falling of the Dow Jones Industrial Average went from 26.23 points to 2662.91
But there did seem to be a retail activity pickup,did,N/A
The results ca n't be extrapolated to all investors though,extrapolated,The extrapolation of results can't apply to all investors though
Last week CBS Inc. canceled The People Next Door,canceled,The canceling of The People Next Door last week was by CBS Inc
People in the phone business call this technology 900 click,call,The calling of this technology the 900 click is done by people in the phone business
But there did seem to be a retail activity pickup,seem,The seeming of activity was from retail pickup
Meanwhile competition from rivals unencumbered by history is intensifying,intensifying,The intensifying of the competition from rivals is unencumbered by history
But do n't do anything rash,do,N/A
The people who tape the most buy the most,tape,The taping is done the most by the people who buy the most
Both issues are dated Oct. 26,dated,Dating Oct 26 are both issues
The people who tape the most buy the most,buy,The buying of the most is done by people who tape the most
Brawls between union factions still erupt at Pemex installations,erupt,Erupting brawls between union factions still occur at Pemex installations.
They will have to throw their hat in the ring,throw,The throwing of their hat in the ring is what they'll have to do
The company is being acquired,being,The being acquired of the company is happening
This is how American women won the right to vote,won,The winning of the right to vote was done by American women this way
Supermarkets are getting into the variety act too,getting,Getting into the variety act too are supermarkets
This is how American women won the right to vote,vote,N/A
The company is being acquired,acquired,Acquisition is what is happening to the company
He also reaffirmed East Germany 's allegiance to Communist orthodoxy,reaffirmed,The reaffirming he made was of East Germanys allegiance to Communist orthodoxy
Coca-Cola Co. may be about to intensify the cola wars,intensify,The intensifying of the cola wars may be by Coca Cola Co
Sales rose to 52.4 million from 50.1 million,rose,The rising of the sales went from 50.1 million to 52.4 million
Per-share net rose to 62.04 yen from 51.50 yen,rose,Rising to 62.04 yen from 51.50 yen was per share net
Neither disclosed details pending board meetings next month,disclosed,The disclosure of details is something neither will do pending board meetings next month
Most public-health measures were handled at the local level,handled,The handling of most public-health measures was done at the local level
She made money but spent more,made,The making of money did not stop her from spending more
Neither disclosed details pending board meetings next month,pending,N/A
Some institutional traders loved the wild ride,loved,N/A
She made money but spent more,spent,The spending of more money came from her making more
"More than 1,000 Muscovites attended the service",attended,"The attendance of the service included more than 1,000 Muscovites"
They could all fairly be described as pap courses,described,Describing them all as pap courses could be fairly done
Some of the oil interests already have been sold,sold,The sale of some of the oil interests has already occurred
Britain 's Prime Minister Thatcher alone dissented,dissented,The dissenting of Britains Prime Minister Thatcher was done alone
Even Lloyd 's specialty unusually risky ventures is being challenged,being,N/A
Even Lloyd 's specialty unusually risky ventures is being challenged,challenged,The challenging of the unusually risky ventures is Lloyd's specialty
Tuesday the shares regained SKr20 closing at SKr225,regained,The regaining of shares on Tuesday of SKr20 closed at SKr225
This is a very tenacious ghost Mr. Warren says darkly,says,N/A
The bank has a negative net worth they say,say,N/A
But the utility may not continue next year,continue,The continuance of the utility next year may not happen
Tuesday the shares regained SKr20 closing at SKr225,closing,Closing at SKr225 Tuesday were the shares that regained SKr20
The gruff financier recently started socializing in upper-class circles,started,The start of socializing in upper-class circles was something the gruff financier recently did
The gruff financier recently started socializing in upper-class circles,socializing,The socializing in upper class circles was recently started by the gruff financier
However inflation for 1990 was seen slowing to 4.5 %,seen,N/A
Goldman Sachs & Co. will manage the offering,manage,The managing of the offering will be done by Goldman Sachs & Co
The incident occurred Saturday night,occurred,The occurring of the incident happened on Saturday night
However inflation for 1990 was seen slowing to 4.5 %,slowing,Slowing to 4.5 % was seen for inflation for 1990 however
Officials at Aristech based in Pittsburgh declined comment,based,N/A
The wholesale price index stood at 89.6 1985 equals 100,stood,N/A
The wholesale price index stood at 89.6 1985 equals 100,equals,The equaling of 1985 to 100 comes from when the wholesale price index stood at 89.6
I 'm ashamed I own the stupid thing,own,Ownership of the stupid thing is something I'm ashamed of
Officials at Aristech based in Pittsburgh declined comment,declined,The declination of the comment was done by the officials at Aristech based in Pittsburgh
On some days the Nucor plant does n't produce anything,does,N/A
Sekisui House which gained 150 Tuesday lost 70 to 2640,gained,Gaining 150 Tuesday was Sekisui House which lost 70 to 2640
The reason does n't relate to your selling skills,does,N/A
On some days the Nucor plant does n't produce anything,produce,The producing of anything by Nucor plant does not occur on some days
Sekisui House which gained 150 Tuesday lost 70 to 2640,lost,N/A
The reason does n't relate to your selling skills,relate,The relation of the reason isn't to your selling skills
"GAF faces potential fines of 500,000 for each count",faces,The facing of potential fines for GAF is 500000 for each count
But it never did let up on the pressure,did,N/A
He succeeds Paul J. Montle 42 who will remain chairman,succeeds,The succeeding of Paul J Montle 42 will allow him to remain chairman
The company did n't put out a public announcement,did,N/A
But it never did let up on the pressure,let,The letting up of the pressure on it never did happen
He succeeds Paul J. Montle 42 who will remain chairman,remain,N/A
The company did n't put out a public announcement,put,Putting out a public announcement is what the company did not do
The theory relies on three assumptions,relies,N/A
Invariably he says eyewitnesses are untrustworthy,says,Saying eyewitnesses are untrustworthy is what he invariably does
Mead gained 1 to 37 7\/8,gained,The gaining of Mead was 1 to 37 7V8
It is scheduled for delivery in late 1991,scheduled,The scheduling for the delivery of it is in late 1991
Having only a Republican measure makes the task harder,Having,N/A
The company paid five cents a share in April,paid,The payment made by the company in April was five cents a share
Yet another political scandal is racking Japan,racking,The racking of Japan is due to yet another political scandal
Having only a Republican measure makes the task harder,makes,The making of the task harder is done by having only a Republican measure
The U.S.-Japan Security Treaty can continue sort of,continue,Continuing is something the US Japan Security Treaty can sort of do
Bush administration officials say inflation is under control,say,The saying that inflation is under control comes from the Bush administration
The playoff series had riveted the 12-year-old Giants fan,riveted,The riveting of the 12 year old Giants fan was due to the playoff series
He said the transaction was made for investment purposes,said,The saying that the transaction was for investment purposes was made by him
The Bakersfield Supermarket went out of business last May,went,Going out of business last May was the Bakersfield Supermarket
Says Mr. Simpson The script was unreadable,Says,N/A
He said the transaction was made for investment purposes,made,He said the making of the transaction was for investment purposes
Consumer stocks once again set the pace for blue-chip issues,set,Setting the pace for blue-chip issues once again were consumer stocks.
The offer is based on several conditions including obtaining financing,based,The basing of the offer on several conditions includes obtaining financing
More Elderly Maintain Their Independence,Maintain,Maintaining their independence were more elderly
The board has 10 business days to respond,respond,The response of the board need come in 10 business days
The company earned 6.6 million in the year-earlier quarter,earned,The earning of 6.6 million in the year earlier quarter happened to the company
The offer is based on several conditions including obtaining financing,including,The inclusion of obtaining financing is one of several conditions on which the offer is based
Cathay is taking several steps to bolster business,taking,The taking of several steps to bolster business was done by Cathay
Kirschner Medical fell 4 to 15,fell,The falling of 4 to 15 was by Kirschner Medical
Cathay is taking several steps to bolster business,bolster,The bolstering of the business is being done by Cathy in several steps
Traders said most municipal bonds ended 1\/2 point higher,said,The saying that most municipal bonds ended 1V2 point higher came from traders
The offer is based on several conditions including obtaining financing,obtaining,The obtainment of financing is one of several conditions upon which the offer is based
Mr. Shilling understands Mr. Straszheim 's problems,understands,An understanding exists by Mr. Shilling of Mr. Strasheim's problems
He bites it scowls and throws it down,bites,"After the biting, it scowls and throws it down"
He bites it scowls and throws it down,scowls,The scowling happened after he bit it and before he threw it down
He bites it scowls and throws it down,throws,Throwing it down is what he does after he bites it and scowls
LONG-TERM care insurance gains favor,gains,Gaining favor is long term care insurance
Tymnet is a major network linking computers,linking,"The linking of the computers is done by Tymnet, a major network"
The union though has called the offer insulting,called,The calling of the offer insulting was done by the union
Sumitomo Realty & Development rose 40 to 2170,rose,The rise of 40 to 2170 was by Sumitomo Realty & Development
But investors do n't seem to think so,seem,But seeming to think so is what investors do not do
Americans did n't dislike metrics they simply ignored them,ignored,The ignoring of metrics by Americans was not because they disliked them
Lack of important needed information can cause fear,cause,Causing fear is what lack of important needed information can do
Couple Counseling Grows to Defuse Stress,Defuse,The defusing of stress is grown through couple counseling
To date scientists have fingered two of these cancer-suppressors,fingered,Fingering two of these cancer-suppressors has been done by scientists to date
Cathay officials decline to comment on the speculation,comment,Commenting on the speculation is what Cathay officials decline to do
McCaw 's offer is scheduled to expire tomorrow,expire,Expiring tomorrow is what McCaw 's offer is scheduled to do
We 've got a lot to do he acknowledged,got,N/A
German and Dutch investors reportedly loaded up on Kellogg Co,loaded,Loading up on Kellogg Co was what German and Dutch investors reportedly did
Budget is set at 1.5 million,set,The setting of the budget is at 1.5 million
Several projects he said are still on the drawing board,drawing,N/A
But a bunch of utilities should post profit increases,post,But the posting of profit increases is something a bunch of utilities should do
The current debt limit expires Oct. 31,expires,The expiring of the current debt limit is on Oct 31
Apparently they are learning to say no to excess risk,learning,Learning to say no to excess risk is what they are apparently doing
But it fell to 1.8470 marks from 1.8485,fell,The falling of it was from 1.8485 to 1.8470 marks
Our view is that we may see a profit decline,see,Seeing a profit decline is our view of what we may do
These errata do not affect business programs he said,said,Saying that these errata do not affect business programs is what he did
They always listened but they never acted Mr. Guber says,listened,Listening was something they always did but they never acted Mr. Guber says
He intends to add to the litigation staff,add,Adding to the litigation staff is what he intends to do
Lloyd 's only recently reported its financial results for 1986,reported,Reporting its financial results for 1986 is something Lloyd 's only recently did
"Mr. Stein was fined 25,000 and suspended for three years",fined,The fining of 25000 was to Mr Stein who was also suspended for three years
The Celtona operations would become part of those ventures,become,Becoming part of those ventures is what the Celtona operations would do
However for many managing speed does not come naturally,does,N/A
Sunbelt foreclosed on the ranch,foreclosed,Foreclosing on the ranch is what Sunbelt did
They note that stocks experienced volatile swings long before futures,note,Noting that stocks experienced volatile swings long before futures is what they do
But investors looking for alternatives are n't finding it easy,finding,The finding of alternatives has not been easy according to investors
Some hotels in the hurricane-stricken Caribbean promise money-back guarantees,promise,The promising of money back guarantees was done by some hotels in the hurricane stricken Caribbean
Apparently they are learning to say no to excess risk,say,Saying no to excess risk is what they apparently are learning
We wanted them to build a road here he says,says,Saying We wanted them to build a road here is what he does
A spokesman cited a technical error and declined to elaborate,elaborate,An elaboration opportunity was declined by a spokesman who cited a technical error
Sales rose 8.4 % to 27.95 billion from 25.78 billion,rose,Rising 8.4 % to 27.95 billion from 25.78 billion were sales
"Mr. Stein was fined 25,000 and suspended for three years",suspended,The suspending of three years was done to Mr Stein who was also fined 25000
Nissan will introduce a completely revamped Sentra next fall,revamped,The revamping of the Sentra will be introduced by Nissan next fall
But five weeks after the premiere the series has floundered,floundered,The floundering of the series occurred five weeks after the premiere
Anne does n't believe in blandness said Ms. Smith,does,N/A
Mr Pyszkiewicz smiles and his brow furrows,furrows,Furrowing his brow and smiling is what Mr Pyszkiewicz does
Eavesdropping by individuals is harder to measure,measure,Measuring eavesdropping by individuals is harder to do
THE PANHANDLER approaches makes his pitch,approaches,Approaching the panhandler makes his pitch
After that the federal share diminishes,diminishes,The diminishing of federal shares occurred after that
But junk bonds took more hits,took,But taking more hits were junk bonds
AN EARTHQUAKE STRUCK Northern California killing more than 50 people,STRUCK,Striking Northern California killing more than 50 people was an earthquake
Mine comes from seeing thriving communities devastated but only temporarily,devastated,The devastating temporarily of thriving communities is what mine comes from seeing
Corporations need liquidity in the form of borrowed funds,need,The needing of liquidity in the form of borrowed funds comes from corporations
The case went on appeal to the Second Circuit,went,Having went on appeal to the Second Circuit was the case
The council plans to release its regional reports monthly,plans,Planning to release its regional reports monthly is the council
The Nasdaq 100 rose 7.08 to 445.23,rose,The rising of the Nasdaq was 7.08 to 445.23
The investors range from elderly widows to affluent professionals,range,Ranging from elderly widows to affluent professionals are the investors
But he warned the currency will remain at risk,remain,The remaining of the risk he warned will be to currency
Perhaps in time the Supreme Court will correct them,correct,The correcting of them perhaps in time could be done by the Supreme Court
The offering is scheduled to expire on Nov. 30,scheduled,The scheduling of the offering is to expire on Nov 30
Mr. Decker 's resignation surprised many industry officials,surprised,Surprising many industry officials was what  Mr. Decker 's resignation did
Mr. Smith is trying hard to allay the anger,allay,The allaying of the anger is something Mr Smith is trying hard to do
The selling that started on Friday continued yesterday,started,Starting on Friday was the selling that continued yesterday
But Ms. McCraw says the magazine is fighting back,says,Saying But the magazine is fighting back is what Ms McCraw does
And ad agencies insist that they do,do,N/A
NCNB 's profit more than doubled,doubled,More than doubling was the profit of NCNB
James A. White and Sonja Steptoe contributed to this article,contributed,The contribution to this article was by James A White and Sonja Steptoe
Their opposition helped scare off some Japanese banks,scare,Scaring off some Japanese banks is what their opposition helped do
After cooling the coins are then rewrapped,cooling,Cooling of the coins takes place and they are then rewrapped after
I mean it is a normal adult relationship,mean,The meaning of it is as a normal adult relationship
The session failed to enact any new curbs,enact,Enacting any new curbs is what the session failed to do
But even Mr. Boren defends congressional oversight,defends,But defending congressional oversight is what even Mr Boren does
The dollar finished at its intraday highs,finished,The finishing of the dollar was at its intraday highs
You do n't know which way to punch,punch,The punching of which way is something you do not know
Lack of important needed information can cause fear,needed,N/A
The Soviets have a world-leading space program the guests noted,noted,Noting that The Soviets have a world-leading space program is what the guests did
The London Times said she had contravened protocol,contravened,Contravening protocol is what The London Times said she had done
That 'll save us time and get people involved,get,Getting people involved and saving us time is what that will do
But Mr. Monsky sees much bigger changes ahead,sees,The seeing of bigger changes ahead is done by Mr Monsky
They had to do it,do,The doing of it was something required of them
Banks may contribute more senior debt,contribute,Contributing more senior debt is what banks may do
Blue chips led the march up in heavy trading,led,Leading the march up in heavy trading were blue chips
They showed up but did n't or could n't challenge,did,N/A
The insurance adjusters think differently,think,The thinking differently comes from the insurance adjusters
The bill is expected to pass in Congress next month,expected,Expecting to pass in Congress next month is the bill
The plant was evacuated and workers sent home,evacuated,The evacuating of the plant sent workers home
Mine comes from seeing thriving communities devastated but only temporarily,comes,The coming from seeing thriving communities devastated but only temporarily is mine
Put these together and you get programs about rape,Put,The putting of these together will get you programs about rape
Bids totaling 475 million were submitted,totaling,The totaling of bids for 475 million were submitted
The rest were withdrawn for lack of acceptable bids,withdrawn,The withdrawing by the rest were due to a lack of acceptable bids
The Ontario Supreme Court overturned Mr. Blair 's decision,overturned,Overturning of Mr. Blair 's decision was done by The Ontario Supreme Court
Beatrice E. Garcia in Philadelphia contributed to this article,contributed,Contributing to this article was Beatrice E. Garcia in Philadelphia
Please submit your offers says Felipe Bince Jr,submit,The submitting of your offers is requested by Felipe Bince Jr
